Alert ID,Ticker,Name,Description,Time,Webhook status
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29405.25,""signalId"":""TIME_STOP_EXIT""}",2026-05-11T20:15:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29429,""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29429,""signalId"":""TIME_STOP_EXIT""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29429,""signalId"":""DEEP_EXIT""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""sell"",""price"":29429,""stopPrice"":29509,""takeProfit"":29279,""signalId"":""E1_ENTRY""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29429,""signalId"":""OPPOSITE_LEVEL_EXIT""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""buy"",""price"":29429,""stopPrice"":29349,""takeProfit"":29579,""signalId"":""E0_ENTRY""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7438.75,""signalId"":""DEEP_EXIT""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""sell"",""price"":7438.75,""stopPrice"":7518.75,""takeProfit"":7288.75,""signalId"":""E1_ENTRY""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7438.75,""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""buy"",""price"":7438.75,""stopPrice"":7358.75,""takeProfit"":7588.75,""signalId"":""E0_ENTRY""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7438.75,""signalId"":""OPPOSITE_LEVEL_EXIT""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7438.75,""signalId"":""TIME_STOP_EXIT""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
