MNQ2023Z,20231214,1405,16523.50,16530.25,16519.75,16522.75,172,308
MNQ2023Z,20231214,1410,16522.25,16531.50,16519.50,16521.50,182,353
MNQ2023Z,20231214,1415,16520.00,16533.75,16517.25,16532.50,265,482
MNQ2023Z,20231214,1420,16532.75,16535.50,16524.25,16535.00,168,321
MNQ2023Z,20231214,1425,16534.75,16536.00,16519.50,16521.75,220,459
MNQ2023Z,20231214,1430,16522.00,16531.50,16521.00,16524.75,266,538
MNQ2023Z,20231214,1435,16525.00,16536.25,16520.25,16521.25,285,522
MNQ2023Z,20231214,1440,16521.25,16533.00,16518.75,16523.75,303,480
MNQ2023Z,20231214,1445,16523.75,16541.50,16520.25,16524.50,413,781
MNQ2023Z,20231214,1450,16521.50,16544.25,16521.50,16526.75,511,871
MNQ2023Z,20231214,1455,16527.25,16546.50,16523.00,16541.50,690,1250
MNQ2023Z,20231214,1500,16545.25,16557.75,16536.00,16541.50,477,907
MNQ2023Z,20231214,1505,16537.25,16538.75,16523.50,16531.75,183,378
MNQ2023Z,20231214,1510,16532.00,16535.75,16530.00,16530.25,86,177
MNQ2023Z,20231214,1515,16531.00,16538.75,16528.75,16534.50,37,63
MNQ2023Z,20231214,1520,16535.25,16535.25,16526.00,16526.00,26,46
MNQ2023Z,20231214,1525,16538.50,16540.00,16528.75,16528.75,19,32
MNQ2023Z,20231214,1530,16530.50,16537.50,16528.25,16533.75,24,41
MNQ2023Z,20231214,1535,16530.00,16535.00,16530.00,16530.75,10,36
MNQ2023Z,20231214,1540,16529.50,16539.00,16529.50,16530.25,21,41
MNQ2023Z,20231214,1545,16535.50,16539.00,16525.00,16530.00,20,46
MNQ2023Z,20231214,1550,16534.00,16537.50,16530.00,16530.25,22,32
MNQ2023Z,20231214,1555,16537.25,16538.25,16525.25,16525.25,22,31
MNQ2023Z,20231214,1700,16525.00,16544.00,16520.75,16527.75,36,80
MNQ2023Z,20231214,1705,16525.00,16527.75,16519.25,16521.00,74,146
MNQ2023Z,20231214,1710,16523.00,16528.75,16521.50,16527.25,24,65
MNQ2023Z,20231214,1715,16527.75,16533.50,16527.50,16533.50,29,63
MNQ2023Z,20231214,1720,16535.00,16538.00,16535.00,16537.25,35,72
MNQ2023Z,20231214,1725,16539.25,16548.00,16539.00,16544.50,72,175
MNQ2023Z,20231214,1730,16545.00,16548.00,16544.00,16548.00,113,264
MNQ2023Z,20231214,1735,16547.50,16547.75,16542.00,16545.50,79,164
MNQ2023Z,20231214,1740,16545.75,16548.50,16545.75,16547.50,18,35
MNQ2023Z,20231214,1745,16548.50,16551.50,16548.50,16549.50,40,126
MNQ2023Z,20231214,1750,16550.75,16552.25,16549.75,16551.00,49,104
MNQ2023Z,20231214,1755,16550.75,16550.75,16549.00,16550.50,14,29
MNQ2023Z,20231214,1800,16550.00,16559.25,16550.00,16558.75,37,74
MNQ2023Z,20231214,1805,16559.00,16561.00,16557.50,16559.25,45,111
MNQ2023Z,20231214,1810,16559.75,16561.75,16557.50,16561.00,40,83
MNQ2023Z,20231214,1815,16560.75,16563.00,16552.50,16553.50,79,195
