MNQ2023Z,20231214,1406,16523.50,16530.25,16523.50,16525.50,63,124
MNQ2023Z,20231214,1407,16526.00,16526.00,16519.75,16521.00,47,80
MNQ2023Z,20231214,1408,16522.00,16530.00,16522.00,16526.25,34,51
MNQ2023Z,20231214,1409,16527.50,16527.50,16522.75,16522.75,28,53
MNQ2023Z,20231214,1410,16522.25,16523.00,16520.25,16521.00,33,54
MNQ2023Z,20231214,1411,16521.00,16525.25,16519.50,16525.00,23,39
MNQ2023Z,20231214,1412,16526.00,16531.50,16522.75,16524.50,71,181
MNQ2023Z,20231214,1413,16524.50,16525.50,16519.50,16519.50,31,50
MNQ2023Z,20231214,1414,16519.75,16526.00,16519.75,16521.50,24,29
MNQ2023Z,20231214,1415,16520.00,16525.50,16517.25,16524.25,74,136
MNQ2023Z,20231214,1416,16525.00,16525.00,16520.00,16523.25,32,50
MNQ2023Z,20231214,1417,16523.25,16527.25,16521.25,16526.75,61,101
MNQ2023Z,20231214,1418,16527.75,16529.00,16522.00,16526.75,35,62
MNQ2023Z,20231214,1419,16527.25,16533.75,16527.25,16532.50,63,133
MNQ2023Z,20231214,1420,16532.75,16533.00,16526.00,16526.25,31,63
MNQ2023Z,20231214,1421,16526.50,16531.75,16524.25,16530.50,42,79
MNQ2023Z,20231214,1422,16530.25,16531.75,16528.50,16529.75,33,49
MNQ2023Z,20231214,1423,16531.00,16531.00,16526.25,16527.75,28,46
MNQ2023Z,20231214,1424,16528.25,16535.50,16528.25,16535.00,34,84
MNQ2023Z,20231214,1425,16534.75,16536.00,16531.50,16532.50,46,94
MNQ2023Z,20231214,1426,16532.25,16533.50,16529.00,16530.25,36,64
MNQ2023Z,20231214,1427,16529.75,16532.00,16527.00,16530.50,33,61
MNQ2023Z,20231214,1428,16529.75,16531.75,16529.25,16531.50,17,35
MNQ2023Z,20231214,1429,16531.00,16532.50,16519.50,16521.75,88,205
MNQ2023Z,20231214,1430,16522.00,16528.75,16521.75,16525.00,101,205
MNQ2023Z,20231214,1431,16524.75,16528.00,16523.50,16525.50,48,74
MNQ2023Z,20231214,1432,16526.00,16531.50,16523.50,16524.25,45,110
MNQ2023Z,20231214,1433,16523.50,16525.25,16521.00,16524.75,49,109
MNQ2023Z,20231214,1434,16525.00,16526.50,16523.50,16524.75,23,40
MNQ2023Z,20231214,1435,16525.00,16533.50,16522.50,16530.50,84,150
MNQ2023Z,20231214,1436,16530.25,16536.25,16530.25,16534.75,65,122
MNQ2023Z,20231214,1437,16533.75,16533.75,16527.50,16530.00,46,63
MNQ2023Z,20231214,1438,16530.00,16532.25,16525.50,16525.75,26,58
MNQ2023Z,20231214,1439,16526.50,16526.50,16520.25,16521.25,64,129
MNQ2023Z,20231214,1440,16521.25,16523.75,16518.75,16520.00,70,136
MNQ2023Z,20231214,1441,16521.25,16528.00,16520.50,16525.50,65,98
MNQ2023Z,20231214,1442,16526.00,16527.25,16522.50,16525.00,44,64
MNQ2023Z,20231214,1443,16524.75,16531.75,16522.50,16531.25,76,114
MNQ2023Z,20231214,1444,16530.50,16533.00,16523.75,16523.75,48,68
MNQ2023Z,20231214,1445,16523.75,16529.00,16523.75,16527.50,25,45
MNQ2023Z,20231214,1446,16528.50,16541.50,16528.25,16532.25,142,258
MNQ2023Z,20231214,1447,16530.75,16534.25,16524.00,16525.25,115,259
MNQ2023Z,20231214,1448,16525.50,16530.00,16525.25,16529.25,43,60
MNQ2023Z,20231214,1449,16528.25,16528.25,16520.25,16524.50,88,159
MNQ2023Z,20231214,1450,16521.50,16537.25,16521.50,16537.25,111,206
MNQ2023Z,20231214,1451,16538.50,16541.50,16536.25,16540.00,109,210
MNQ2023Z,20231214,1452,16539.75,16544.25,16536.75,16538.75,85,150
MNQ2023Z,20231214,1453,16537.00,16537.00,16525.75,16533.50,115,165
MNQ2023Z,20231214,1454,16535.75,16535.75,16525.00,16526.75,91,140
MNQ2023Z,20231214,1455,16527.25,16539.50,16526.50,16537.00,114,211
MNQ2023Z,20231214,1456,16535.50,16537.25,16523.00,16524.75,120,236
MNQ2023Z,20231214,1457,16524.00,16533.25,16524.00,16533.25,82,124
MNQ2023Z,20231214,1458,16533.50,16537.25,16528.50,16537.25,89,165
MNQ2023Z,20231214,1459,16536.50,16546.50,16536.00,16541.50,285,514
MNQ2023Z,20231214,1500,16545.25,16552.25,16543.25,16552.25,217,423
MNQ2023Z,20231214,1501,16551.25,16557.75,16550.25,16552.75,106,211
MNQ2023Z,20231214,1502,16553.25,16553.25,16538.75,16543.50,86,148
MNQ2023Z,20231214,1503,16543.75,16544.25,16539.75,16541.75,26,40
MNQ2023Z,20231214,1504,16541.75,16541.75,16536.00,16541.50,42,85
MNQ2023Z,20231214,1505,16537.25,16538.75,16533.75,16533.75,49,87
MNQ2023Z,20231214,1506,16533.25,16537.75,16533.25,16536.50,18,34
MNQ2023Z,20231214,1507,16535.75,16536.25,16530.75,16531.75,24,43
MNQ2023Z,20231214,1508,16532.00,16533.00,16523.50,16527.75,61,171
MNQ2023Z,20231214,1509,16528.25,16532.50,16527.25,16531.75,31,43
MNQ2023Z,20231214,1510,16532.00,16534.00,16531.75,16532.75,20,30
MNQ2023Z,20231214,1511,16532.25,16535.00,16531.50,16535.00,19,31
MNQ2023Z,20231214,1512,16535.75,16535.75,16532.25,16533.25,13,46
MNQ2023Z,20231214,1513,16533.50,16535.00,16532.75,16534.75,9,13
MNQ2023Z,20231214,1514,16533.50,16534.50,16530.00,16530.25,25,57
MNQ2023Z,20231214,1515,16531.00,16537.25,16528.75,16537.25,12,20
MNQ2023Z,20231214,1516,16538.00,16538.00,16532.50,16537.25,10,16
MNQ2023Z,20231214,1517,16535.75,16538.75,16535.75,16536.25,9,16
MNQ2023Z,20231214,1518,16535.50,16537.25,16535.00,16537.25,3,5
MNQ2023Z,20231214,1519,16536.00,16536.25,16534.50,16534.50,3,6
MNQ2023Z,20231214,1520,16535.25,16535.25,16531.50,16534.25,14,24
